"Report_Name","Platform Usage"
"Report_ID","PR_P1"
"Release","5"
"Institution_Name","Stanford University"
"Institution_ID","rsc:2472"
"Metric_Types","Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests"
"Report_Filters","Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created","2018-08-22"
"Created_By","MPS"

"Platform","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018","Jun-2018"
"rsc.org","Searches_Platform","3730","0","0","0","0","0","3730"
"rsc.org","Total_Item_Requests","10184","0","0","0","0","0","10184"
"rsc.org","Unique_Item_Requests","7835","0","0","0","0","0","7835"
"rsc.org","Unique_Title_Requests","6694","0","0","0","0","0","6694"
