Report_Name,Multimedia Item Requests,,,,,,,,,,,,
Report_ID,IR_M1,,,,,,,,,,,,
Release,5,,,,,,,,,,,,
Institution_Name,Johnson Matthey,,,,,,,,,,,,
Institution_ID,mu-0000036,,,,,,,,,,,,
Metric_Types,Total_Item_Requests,,,,,,,,,,,,
Report_Filters,Data_Type=Multimedia; Access_Method=Regular,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,
Reporting_Period,2018-01-01 to 2018-05-31,,,,,,,,,,,,
Created,03-07-18,,,,,,,,,,,,
Created_By,MPS,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,URI,Metric_Type,Reporting_Period_Total,Jan-18,Feb-18,Mar-18,Apr-18,May-18
Analytical Communications,Royal Society of Chemistry,,rsc.org,,,1364-5536,Total_Item_Requests,0,0,0,0,0,0
Analytical Communications,Royal Society of Chemistry,,rsc.org,,,1364-5536,Total_Item_Requests,0,0,0,0,0,0
RSC Journals Archive 1841-1996,Royal Society of Chemistry,,rsc.org,,,1364-5536,Total_Item_Requests,15,0,15,0,0,0
RSC Journals Archive 1841-1996,Royal Society of Chemistry,,rsc.org,,,1364-5536,Unique_Item_Requests,15,0,15,0,0,0
